mal_id,title_default,title_japanese,score,rank,popularity,season,year,genres
3009,Tiger Mask,タイガーマスク,7.27,2883.0,6219,fall,1969.0,"Drama, Sports"
3020,Gu-Gu Ganmo,Gu-Guガンモ,6.14,8782.0,12167,spring,1984.0,"Comedy, Slice of Life"
3021,Yume Senshi Wingman,夢戦士ウイングマン,6.61,6200.0,9673,winter,1984.0,"Action, Comedy, Romance"
3022,Haai Step Jun,はーいステップジュン,6.33,7741.0,11765,spring,1985.0,"Action, Romance, Sci-Fi"
3023,Esper Mami,エスパー魔美,6.45,7076.0,10475,spring,1987.0,"Comedy, Supernatural, Ecchi"
3024,Ribbon no Kishi,リボンの騎士,6.7,5670.0,7997,spring,1967.0,"Action, Fantasy, Mystery, Romance"
3035,Chouon Senshi Borgman,超音戦士ボーグマン,6.25,8240.0,9360,spring,1988.0,"Action, Sci-Fi"
3044,Tetsuwan Atom (1980),鉄腕アトム,7.16,3442.0,5490,fall,1980.0,"Action, Adventure, Sci-Fi"
3053,Ganbare! Kickers,がんばれ！キッカーズ,6.85,4933.0,6519,fall,1986.0,Sports
3054,La Seine no Hoshi,ラ・セーヌの星,6.55,6498.0,10177,spring,1975.0,"Action, Adventure, Drama"
3059,Ninja Senshi Tobikage,忍者戦士飛影,6.94,4471.0,8359,fall,1985.0,"Action, Adventure, Sci-Fi"
3075,Tondera House no Daibouken,トンデラハウスの大冒険,6.22,8368.0,12023,spring,1982.0,"Adventure, Sci-Fi"
3079,Aoki Ryuusei SPT Layzner,蒼き流星SPTレイズナー,6.89,4701.0,7377,fall,1985.0,Sci-Fi
3081,Attacker You!,アタッカーＹＯＵ！,6.63,6042.0,7147,spring,1984.0,"Romance, Sports"
3125,Tokimeki Tonight,ときめきトゥナイト,7.14,3595.0,6420,fall,1982.0,"Comedy, Fantasy, Romance"
3129,Kaibutsu-kun,怪物くん,6.56,6475.0,11649,spring,1968.0,"Comedy, Horror"
3130,Kaibutsu-kun (1980),怪物くん (1980),6.58,6326.0,11529,fall,1980.0,"Comedy, Horror"
3131,Ashita Tenki ni Naare,あした天気になあれ,6.11,8929.0,12919,fall,1984.0,Sports
3136,Ochamegami Monogatari: Korokoro Pollon,おちゃめ神物語コロコロポロン,6.96,4409.0,9389,spring,1982.0,Comedy
3137,Tsurikichi Sanpei,釣りキチ三平,7.07,3885.0,8116,spring,1980.0,"Adventure, Sports"
3159,The Kabocha Wine,Ｔｈｅかぼちゃワイン,6.69,5755.0,9246,summer,1982.0,"Comedy, Romance"
3162,Makiba no Shoujo Katri,牧場の少女カトリ,6.94,4467.0,8880,winter,1984.0,"Adventure, Drama, Slice of Life"
3180,Manga Aesop Monogatari (TV),まんがイソップ物語,6.0,9515.0,15680,fall,1983.0,"Comedy, Fantasy"
3196,Wakakusa no Charlotte,若草のシャルロット,6.69,5763.0,9712,fall,1977.0,"Drama, Slice of Life"
3201,Pure-tou no Nakama-tachi,セレンディピティ物語 ピュア島の仲間たち,6.3,7961.0,12733,summer,1983.0,Fantasy
3205,Cream Lemon: Lemon Angel,くりぃむレモン レモンエンジェル,5.27,12250.0,8747,fall,1987.0,Ecchi
3213,Ganbare Genki,がんばれ元気,7.29,2764.0,9879,summer,1980.0,"Comedy, Sports"
3259,Lemon Angel (1988),レモンエンジェル,5.71,10820.0,10859,winter,1988.0,Ecchi
3264,Lemon Angel (1988/II),レモンエンジェル,5.66,11060.0,11431,summer,1988.0,Ecchi
3272,Kinnikuman,キン肉マン,7.22,3157.0,5743,spring,1983.0,"Comedy, Sports"
3285,Himitsu no Akko-chan,ひみつのアッコちゃん,6.41,7352.0,9423,winter,1969.0,"Comedy, Fantasy"
3294,Gasshin Sentai Mechander Robo,合身戦隊メカンダーロボ,5.74,10723.0,12484,spring,1977.0,"Mystery, Sci-Fi"
3305,Muteki Koujin Daitarn 3,無敵鋼人ダイターン３,7.06,3934.0,9135,summer,1978.0,Sci-Fi
3317,Uchuusen Sagittarius,宇宙船サジタリウス,6.8,5136.0,11440,winter,1986.0,"Adventure, Sci-Fi"
3327,Giant Gorg,巨神ゴーグ〈ジャイアントゴーグ〉,7.14,3559.0,7573,spring,1984.0,"Action, Adventure, Sci-Fi"
3332,Stop!! Hibari-kun!,ストップ！！ひばりくん！,7.01,4171.0,6130,spring,1983.0,Comedy
3335,Haikara-san ga Tooru,はいからさんが通る,7.1,3765.0,7370,summer,1978.0,"Drama, Romance"
3356,Mahoutsukai Sally,魔法使いサリー,6.5,6811.0,8570,winter,1967.0,Fantasy
3361,UFO Senshi Dai Apolon,ＵＦＯ戦士ダイアポロン,5.89,10040.0,12200,spring,1976.0,"Action, Sci-Fi"
3388,Majokko Megu-chan,魔女っ子メグちゃん,6.68,5809.0,9312,spring,1974.0,
3391,Maicching Machiko-sensei,まいっちんぐマチコ先生,6.23,8337.0,9140,fall,1981.0,"Comedy, Ecchi"
3399,Rokushin Gattai GodMars,六神合体ゴッドマーズ,6.37,7540.0,9982,fall,1981.0,"Action, Sci-Fi"
3433,Go-Q-Choji Ikkiman,剛Q超児イッキマン,6.38,7495.0,12566,spring,1986.0,"Sci-Fi, Sports"
3434,Hey! Bumboo,へーい！ブンブー,6.01,9491.0,11808,spring,1985.0,Adventure
3435,Joou Heika no Petite Angie,女王陛下のプティアンジェ,6.42,7283.0,11835,winter,1978.0,Mystery
3436,Meme Iroiro Yume no Tabi,ミームいろいろ夢の旅,6.68,5812.0,12915,spring,1983.0,"Adventure, Sci-Fi"
3437,Mister Ajikko,ミスター味っ子,7.08,3859.0,8379,fall,1987.0,"Comedy, Gourmet"
3444,The☆Ultraman,ザ☆ウルトラマン,6.4,7405.0,9432,spring,1979.0,"Action, Sci-Fi"
3460,Bosco Adventure,ボスコアドベンチャー,7.0,4242.0,10942,fall,1986.0,"Adventure, Fantasy"
3579,Getter Robo,ゲッターロボ,6.7,5694.0,6883,spring,1974.0,"Action, Sci-Fi"
3609,Kikou Kantai Dairugger XV,機甲艦隊ダイラガーXV,6.38,7506.0,10103,spring,1982.0,"Action, Adventure, Sci-Fi"
3619,Nanako SOS,ななこSOS,6.26,8190.0,10366,spring,1983.0,"Comedy, Romance"
3630,Miracle Shoujo Limit-chan,ミラクル少女リミットちゃん,5.76,10643.0,13626,fall,1973.0,"Comedy, Sci-Fi"
3660,Mahou no Idol Pastel Yumi,魔法のアイドル パステルユーミ,6.44,7173.0,9435,spring,1986.0,"Comedy, Fantasy"
3670,Kikou Souseiki Mospeada,機甲創世記モスピーダ,7.03,4074.0,6504,fall,1983.0,Action
3676,Machine Robo: Cronos no Dai Gyakushuu,マシンロボ クロノスの大逆襲,6.26,8187.0,10657,summer,1986.0,"Action, Sci-Fi"
3683,Kabatotto,カバトット,5.86,10149.0,14221,winter,1971.0,Comedy
